Estado,Tipo_gasto,Media_Aprobado,Total_Aprobado,pct_Ap,Media_Pagado,Total_Pagado,pct_Pa
Sonora,Pensiones y jubilaciones,2950764988.21,41310709835.0,27.63,730114685.84,10221605602.0,26.77
Sonora,Participaciones,7396043727.0,36980218635.0,24.74,1840341528.6,9201707643.0,24.1
Sonora,Gasto de obra pública,89594570.24,7167565619.0,4.79,19204679.22,1536374337.0,4.02
Sonora,Gasto de capital diferente de obra pública,15283366.45,5242194691.0,3.51,3811533.93,1307356138.0,3.42
Sonora,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,170113.67,10376934.0,0.03
Sonora,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,41256.37,495076.0,0.0
Tabasco,Gasto de obra pública,371183158.22,133997120116.0,54.36,59874591.63,21614727580.0,40.87
Tabasco,Gasto corriente,21299620.62,61215109654.0,24.83,5894386.66,16940467269.0,32.03
Tabasco,Participaciones,6824500589.0,34122502945.0,13.84,1806235191.8,9031175959.0,17.08
Tabasco,Pensiones y jubilaciones,853340926.0,11946772964.0,4.85,231425510.4,3239957146.0,6.13
Tabasco,Gasto de capital diferente de obra pública,10540684.47,5217638815.0,2.12,4149589.67,2054046886.0,3.88
Tabasco,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,146310.83,10388069.0,0.02
Tabasco,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Tamaulipas,Gasto corriente,32795129.96,103140683709.0,50.31,7660920.31,24093594368.0,47.5
Tamaulipas,Pensiones y jubilaciones,3233503664.93,45269051309.0,22.08,839657587.41,11755206224.0,23.17
Tamaulipas,Participaciones,8600807199.4,43004035997.0,20.98,2235692743.0,11178463715.0,22.04
Tamaulipas,Gasto de capital diferente de obra pública,15469061.35,4718063712.0,2.3,6110015.2,1863554637.0,3.67
Tamaulipas,Gasto de obra pública,98777307.83,8889957705.0,4.34,20268789.65,1824191068.0,3.6
Tamaulipas,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,134423.96,8737558.0,0.02
Tamaulipas,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Tlaxcala,Gasto corriente,8450801.73,18245280932.0,37.64,2614240.79,5644145868.0,43.31
Tlaxcala,Participaciones,2878320353.4,14391601767.0,29.69,747351745.4,3736758727.0,28.68
Tlaxcala,Pensiones y jubilaciones,765051925.43,10710726956.0,22.1,186189055.5,2606646777.0,20.0
Tlaxcala,Gasto de capital diferente de obra pública,11599964.08,2087993534.0,4.31,3443741.83,619873530.0,4.76
Tlaxcala,Gasto de obra pública,101156708.37,3034701251.0,6.26,13954874.67,418646240.0,3.21
Tlaxcala,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,86928.8,5041870.0,0.04
Tlaxcala,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Veracruz,Gasto corriente,40264949.65,173702992780.0,42.67,10121748.01,43665220905.0,42.88
Veracruz,Participaciones,16716445684.8,83582228424.0,20.53,4274857197.2,21374285986.0,20.99
Veracruz,Pensiones y jubilaciones,4556837822.8,68352567342.0,16.79,1199257739.59,17988866094.0,17.67
Veracruz,Gasto de obra pública,290320095.34,67644582215.0,16.62,65162621.69,15182890853.0,14.91
Veracruz,Gasto de capital diferente de obra pública,24416875.24,13771117638.0,3.38,6374974.06,3595485367.0,3.53
Veracruz,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,277231.33,23841894.0,0.02
Veracruz,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Yucatán,Gasto corriente,14167955.56,47179292011.0,34.27,4169329.66,13883867773.0,37.21
Yucatán,Gasto de obra pública,678969466.44,33948473322.0,24.66,170774092.42,8538704621.0,22.88
Yucatán,Pensiones y jubilaciones,2029247491.64,28409464883.0,20.63,511074295.94,7155040143.0,19.18
Yucatán,Participaciones,4986086087.8,24930430439.0,18.11,1282670598.8,6413352994.0,17.19
Yucatán,Gasto de capital diferente de obra pública,9555070.22,3210503595.0,2.33,3916472.42,1315934735.0,3.53
Yucatán,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,93402.14,5604128.0,0.02
Yucatán,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,0.0,0.0,0.0
Zacatecas,Gasto corriente,10437660.07,24277997318.0,37.5,3591353.26,8353487676.0,45.14
Zacatecas,Participaciones,3557373784.4,17786868922.0,27.48,927992591.6,4639962958.0,25.07
Zacatecas,Pensiones y jubilaciones,1103496225.14,15448947152.0,23.87,275271187.79,3853796629.0,20.83
Zacatecas,Gasto de obra pública,176726434.68,4948340171.0,7.64,32784397.01,917963116.0,4.96
Zacatecas,Gasto de capital diferente de obra pública,10973293.73,2271471802.0,3.51,3541009.98,732989066.0,3.96
Zacatecas,Gasto corriente por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,115808.65,7180136.0,0.04
Zacatecas,Gasto de inversión por concepto de gastos indirectos de programas de subsidios,0.0,0.0,0.0,6478.36,90697.0,0.0
